tau_T,eta_kTe_10,eta_kTe_11p0146,eta_kTe_12p1321,eta_kTe_13p3631,eta_kTe_14p7189,eta_kTe_16p2123,eta_kTe_17p8572,eta_kTe_19p6689,eta_kTe_21p6646,eta_kTe_23p8626,eta_kTe_26p2837,eta_kTe_28p9505,eta_kTe_31p8878,eta_kTe_35p1231,eta_kTe_38p6867,eta_kTe_42p6119,eta_kTe_46p9353,eta_kTe_51p6973,eta_kTe_56p9425,eta_kTe_62p7199,eta_kTe_69p0835,eta_kTe_76p0927,eta_kTe_83p813,eta_kTe_92p3167,eta_kTe_101p683,eta_kTe_112,eta_kTe_123p363,eta_kTe_135p88,eta_kTe_149p666,eta_kTe_164p851,eta_kTe_181p577,eta_kTe_200
0.1954128451785861,0.4973535670525892,0.5013839652322577,0.505322090884945,0.5091883210823939,0.5129976713304585,0.5167602445776485,0.5204807624374623,0.5241585871169591,0.5277893628776613,0.5313665472117034,0.5348826684264915,0.5383298992332427,0.5416990565101764,0.5449799942600722,0.5481576894071281,0.5512095141957337,0.5541013855306449,0.556783532242332,0.5591881754132255,0.5612260198344289,0.5627856528915262,0.5637362533480619,0.5639358761794599,0.5632464880390524,0.5615600047851557,0.5588300742818829,0.5551066512101349,0.5505512175068672,0.5454326160795931,0.5400749914073418,0.5348098048765098,0.5298971497536912
0.2356873608638661,0.4999961405281684,0.5039417059658596,0.5077900927740672,0.5115607594048113,0.5152676414842062,0.5189196140305996,0.5225200029919946,0.5260665644383606,0.5295530571225132,0.5329706729887509,0.5363091668485589,0.5395572804087692,0.5427015863335394,0.5457266863538166,0.5486111359395797,0.5513245532310861,0.5538236684099771,0.5560481570526125,0.5579186535796612,0.5593343194557662,0.5601745544426373,0.5603059469590211,0.5595968501748625,0.5579419135078005,0.5552934454914141,0.5516975223390225,0.5473092698684365,0.5423916228772048,0.5372620538257976,0.5322452850344248,0.5275941328102272,0.5234837944120745
0.2842624394532966,0.5032876806356875,0.5071305668871552,0.5108704039946119,0.5145255085991525,0.5181084883138771,0.5216267154562673,0.5250818141168587,0.5284695882130135,0.5317815102340622,0.5350060312994438,0.5381295585552346,0.5411367018263042,0.5440089355585188,0.5467245686572447,0.5492544998375595,0.5515591855121154,0.5535847003339353,0.5552589398947385,0.556490609874204,0.5571690982128177,0.5571705658526235,0.5563717160138272,0.5546731735848565,0.5520325492720906,0.5484957499129295,0.5442208820910858,0.5394653835460327,0.5345406360359468,0.5297620667559729,0.5253685321462604,0.5215219705529145,0.5182730155581816
0.3428488239155618,0.5073879414513367,0.5111072849882778,0.5147163628796639,0.5182320601146522,0.5216653304856277,0.5250216775021681,0.5283006092690977,0.5314955035031774,0.5345949925681904,0.5375841270651912,0.5404451690570152,0.5431576255996677,0.5456966970805091,0.5480329873550407,0.5501281109342374,0.5519316306743646,0.5533774484524593,0.5543810828297666,0.5548409692287118,0.5546430755918234,0.5536741196975313,0.551845084930663,0.5491226214996103,0.5455637725967509,0.5413320985698628,0.5366845092696214,0.5319346983109232,0.5273735749881731,0.5232342669831551,0.5196483883954839,0.5166527348225316,0.5142378110874122
0.4135098407174411,0.5124770046375657,0.5160476618081428,0.519498904480177,0.5228457964102288,0.5260971940062389,0.5292562255103691,0.5323197009650028,0.5352778964396768,0.5381158074912634,0.5408141308071837,0.5433498311942335,0.5456959186691563,0.5478196564481779,0.5496820123869632,0.5512332505837946,0.5524101947552577,0.5531337819494087,0.5533089817172876,0.5528312463221691,0.5515989989187229,0.5495373924393619,0.5466297342353983,0.5429510095198332,0.5386799747880522,0.5340838183673291,0.5294642770359633,0.5251052786095045,0.5212073306334918,0.5178718486461257,0.5151305891974803,0.5129393638147695,0.5112408378569699
0.498734067153387,0.5187440742061616,0.5221344488285645,0.5253934286732501,0.5285337130821405,0.5315614342834813,0.5344766180649289,0.537272527641333,0.5399353396626456,0.5424452259167735,0.5447771048996589,0.5469009317175129,0.5487811822781035,0.5503748444839529,0.5516307536187571,0.5524856377050167,0.5528627436902083,0.5526725405205226,0.5518186110140157,0.550213069128729,0.5478005030640916,0.5445892276895083,0.5406825023355932,0.536283748312989,0.5316725997188682,0.5271486783780613,0.5229641243794684,0.5192956071558518,0.5162150538006048,0.51371465590854,0.5117510563697472,0.5102475501542871,0.5091216811387693
0.6015229753850641,0.5263721632934898,0.5295407037659862,0.5325616485332276,0.5354445464047464,0.5381918859688558,0.5407995076112664,0.5432558460686967,0.5455414558083846,0.5476298649772882,0.5494880402432788,0.551076365289706,0.552347872458641,0.5532462625042855,0.5537057500539387,0.5536489886783746,0.552989676075797,0.5516404901179998,0.5495297775311484,0.5466289372304033,0.5429832609812852,0.5387353098898993,0.5341226039208894,0.5294399589127673,0.5249769742122403,0.5209549530939233,0.5175099041066152,0.5146755165714337,0.5124206475053109,0.5106723066359977,0.5093572529361554,0.5083940771292178,0.5077157069420493
0.725496639885277,0.5355179076453208,0.538407593542476,0.541127078874284,0.5436815800878588,0.5460685415623199,0.5482779468476595,0.5502914034395066,0.5520814582002184,0.5536121623930857,0.5548392325671997,0.555709817893083,0.5561618856863769,0.5561232740461057,0.555514132646553,0.5542502685022631,0.5522551767799025,0.5494806431293376,0.5459357498463094,0.5417167976080541,0.5370201609955193,0.532123671787273,0.5273340323642135,0.5229203684495114,0.5190643410698302,0.5158455136555976,0.5132580202742412,0.5112417609694755,0.5097124946202036,0.5085786215579299,0.5077697492767514,0.5072173487791052,0.5068707465441112
0.8750212311473027,0.546282073796122,0.5488116940974302,0.5511385901215327,0.5532617986090869,0.5551715056508283,0.5568491734327133,0.5582663910668607,0.5593839321182514,0.5601520616578637,0.5605106348430384,0.5603894136055978,0.5597092322953108,0.5583854409469753,0.5563378569271734,0.5535069126632655,0.5498805498263425,0.5455232905877967,0.5406009858396603,0.5353758342450902,0.5301651404144033,0.5252771641464394,0.5209358208332279,0.5172663208700836,0.5142899681121995,0.5119567101244397,0.5101796459873665,0.5088620453191868,0.5079135890347543,0.5072528658312396,0.5068274217812807,0.5065860497233595,0.5064939170833086
1.055362785800932,0.5586601584620579,0.5607102164892644,0.5625092833280975,0.5640472180022313,0.5653033381860493,0.5662462605326359,0.5668324942272537,0.5670054055029332,0.5666958486874519,0.5658236432029721,0.5643013255037603,0.5620425858658097,0.5589771632722569,0.5550777028243982,0.5503890903621246,0.5450598527666134,0.5393431502530184,0.5335729382474291,0.5280851776181595,0.5231575314546772,0.5189577198786302,0.5155252619316926,0.5128227937701824,0.5107589432307995,0.5092254670299261,0.5081184106279668,0.5073482506120764,0.5068427240356326,0.50654579058053,0.5064151287452486,0.5064194099197372,0.5065359110006704
