generation,input_energy,unscattered_up_energy,compton_up_energy,compton_down_energy,upward_escape_energy,reflected_energy,absorbed_blackbody_energy,returned_feedback_energy,coronal_gain_energy,disk_energy_residual,last_scatter_order,last_difmax,tau_T
24,0.9991702791704133,0.03260660961801706,0.620433845067013,0.9991324951167719,0.6530404546850301,0.00011658378056438782,0.9990159113362076,0.9991324951167719,0.6530026706313887,0.0,99,0.002806106853492742,2.4988928864685045
25,0.9991324951167719,0.03260537658505706,0.6204103830944425,0.9990947124919508,0.6530157596794995,0.00011657937189860739,0.9989781331200522,0.9990947124919509,0.6529779770546784,1.1102230246251565e-16,99,0.002806106853492745,2.4988928864685045
26,0.9990947124919509,0.032604143598724725,0.6203869220090968,0.9990569312958958,0.6529910656078216,0.0001165749633995426,0.9989403563324962,0.9990569312958959,0.6529532844117665,1.1102230246251565e-16,99,0.0028061068534927444,2.4988928864685045
27,0.9990569312958959,0.03260291065901831,0.6203634618109424,0.9990191515285531,0.6529663724699607,0.00011657055506718712,0.9989025809734859,0.9990191515285533,0.6529285927026178,1.1102230246251565e-16,99,0.002806106853492744,2.4988928864685045
28,0.9990191515285533,0.032601677765936046,0.6203400024999453,0.9989813731898689,0.6529416802658813,0.00011656614690153462,0.9988648070429673,0.9989813731898689,0.6529039019271968,0.0,99,0.002806106853492744,2.4988928864685045
29,0.9989813731898689,0.032600444919476154,0.6203165440760722,0.9989435962797883,0.6529169889955483,0.00011656173890257878,0.9988270345408857,0.9989435962797883,0.6528792120854678,0.0,99,0.0028061068534927435,2.4988928864685045
30,0.9989435962797883,0.03259921211963688,0.620293086539289,0.998905820798258,0.652892298658926,0.00011655733107031332,0.9987892634671877,0.998905820798258,0.6528545231773957,0.0,99,0.0028061068534927435,2.4988928864685045
31,0.998905820798258,0.03259797936641645,0.6202696298895629,0.9988680467452237,0.6528676092559793,0.0001165529234047319,0.9987514938218189,0.9988680467452238,0.6528298352029451,1.1102230246251565e-16,99,0.0028061068534927444,2.4988928864685045
32,0.9988680467452238,0.03259674665981314,0.6202461741268606,0.9988302741206314,0.6528429207866737,0.00011654851590582832,0.9987137256047256,0.9988302741206314,0.6528051481620814,0.0,99,0.002806106853492745,2.4988928864685045
33,0.9988302741206314,0.03259551399982513,0.6202227192511474,0.9987925029244273,0.6528182332509724,0.00011654410857359616,0.9986759588158537,0.9987925029244273,0.6527804620547684,0.0,99,0.0028061068534927435,2.4988928864685045
34,0.9987925029244273,0.03259428138645071,0.6201992652623906,0.9987547331565569,0.6527935466488413,0.00011653970140802914,0.9986381934551489,0.9987547331565569,0.6527557768809709,0.0,99,0.0028061068534927435,2.4988928864685045
35,0.9987547331565569,0.03259304881968809,0.6201758121605565,0.9987169648169667,0.6527688609802446,0.00011653529440912102,0.9986004295225576,0.9987169648169667,0.6527310926406542,0.0,99,0.0028061068534927435,2.4988928864685045
36,0.9987169648169667,0.0325918162995355,0.6201523599456115,0.998679197905602,0.6527441762451469,0.0001165308875768654,0.9985626670180251,0.998679197905602,0.6527064093337822,0.0,99,0.0028061068534927444,2.4988928864685045
37,0.998679197905602,0.032590583825991185,0.6201289086175219,0.9986414324224098,0.6527194924435131,0.00011652648091125604,0.9985249059414986,0.9986414324224099,0.6526817269603209,1.1102230246251565e-16,99,0.0028061068534927444,2.4988928864685045
38,0.9986414324224099,0.0325893513990534,0.6201054581762544,0.9986036683673354,0.6526948095753078,0.00011652207441228666,0.9984871462929231,0.9986036683673355,0.6526570455202333,1.1102230246251565e-16,99,0.0028061068534927427,2.4988928864685045
39,0.9986036683673355,0.032588119018720364,0.6200820086217756,0.9985659057403253,0.652670127640496,0.00011651766807995093,0.9984493880722454,0.9985659057403254,0.6526323650134859,1.1102230246251565e-16,99,0.002806106853492744,2.4988928864685045
40,0.9985659057403254,0.032586886684990324,0.6200585599540519,0.9985281445413252,0.6526454466390422,0.0001165132619142426,0.998411631279411,0.9985281445413252,0.6526076854400419,0.0,99,0.0028061068534927444,2.4988928864685045
