model,f_corona,g_feedback,d_ratio,theta,kTe_keV,tau_T,l_diss_local,fixed_xi,effective_albedo,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_h_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,returning_reflection_over_l_diss,downward_flux_model,reflected_flux_model_hemisphere,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,last_scatter_order,last_difmax,converged,max_scatter,hemisphere_mu_order,exact_angles,root_method,root_iterations
compPSc-fg,1.0,0.05,0.0,0.07219520795809188,36.891751266584954,2.689948307452791,63764.35235902373,100.0,0.1549649473376095,0.5114107574829448,0.9740998313110715,46.240582017804556,46.279154113911886,0.02215996696310936,1.025544526244934,0.0,0.02215996696310936,0.004063758186861121,1.878384324959386e-10,2.910837279971224e-11,7.28351875417232e+24,2.961400523591679e+34,-0.0008338134100851642,60,0.0027177545369040184,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.08253819433452123,42.17701730494035,2.4053826816125063,14449.565626177073,100.0,0.15579341019532572,0.5112690433320992,0.9634250103550572,45.920010045032,46.33741049981464,0.022125758334163175,1.025250346549814,0.0,0.022125758334163175,0.0040831798586581525,1.8648451544665875e-10,2.9053058610057864e-11,1.1245064548816816e+26,2.3478564287435797e+34,-0.009048666228019253,53,0.00269259086257198,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.0927968494442299,47.419190066001484,2.174083606275266,4549.375873178611,100.0,0.15641584159810387,0.5110352735554189,0.951418894792013,46.1902091433892,46.392812552607985,0.022092132310637305,1.0249161531748108,0.0,0.022092132310637305,0.004096283024815547,1.874960448726941e-10,2.932735165507829e-11,9.182615103575139e+26,1.9005093959968035e+34,-0.004376693024712489,48,0.0024400522886637134,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.106091312840393,54.212660861440824,1.9222654825139749,1433.372129777034,100.0,0.15634730243067202,0.5107845004944964,0.9335648420413796,46.21567750459142,46.41181856596234,0.022072500169541712,1.024424873165943,0.0,0.022072500169541712,0.004090517187168492,1.8750736846237782e-10,2.931627124496684e-11,7.139235752962857e+27,1.4667957241612217e+34,-0.004235056821187114,42,0.002766842408481193,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.12129039646935975,61.97939259584283,1.6880692428682118,520.9190207911543,100.0,0.15580451607422716,0.510544749755625,0.9107389853624478,46.122867176603904,46.40375836851787,0.02206291152033815,1.0238020150957607,0.0,0.02206291152033815,0.00407192565948034,1.8704298115719742e-10,2.914214116427793e-11,4.1031089719864596e+28,1.113405807659526e+34,-0.006071594055489446,37,0.002930334576993666,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.13866696416347205,70.85881868753421,1.4754078138389257,211.53328994361638,100.0,0.1551365408082739,0.5103071467601521,0.8827999300693826,46.20058934969364,46.38865898749321,0.022053752868912837,1.0230440212304477,0.0,0.022053752868912837,0.004049580905294276,1.8727097460322722e-10,2.905257119373879e-11,1.8643671539407027e+29,8.342359304654859e+33,-0.004062456490974619,33,0.0027280497461918468,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.15853297136489386,81.01034836746076,1.2830161690560387,94.47939909564548,100.0,0.15430784437454745,0.5101041299377603,0.8494600041168995,46.322429095012666,46.36164676775613,0.022047220486643617,1.0221454484126078,0.0,0.022047220486643617,0.004022810244974143,1.876901448205615e-10,2.8962061657607476e-11,6.903036891704313e+29,6.161897066805042e+33,-0.0008462656549989749,30,0.0020128669008161256,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.17823700160037928,91.07910781779381,1.1287124266548074,50.317883412695,100.0,0.15327812298121782,0.5099973356776568,0.815391271561439,46.14157918762284,46.31496151101211,0.022049761847293622,1.0212338712843874,0.0,0.022049761847293622,0.003991565825647216,1.869182325704492e-10,2.865047583936519e-11,1.837917388532791e+30,4.6534035378060826e+33,-0.0037505735197022683,27,0.0020643094595302314,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.20377197727907612,104.1274803896079,0.9713121603887848,25.981519134728703,100.0,0.15210243851485214,0.5099194127047179,0.7718813109312682,46.0755537858892,46.25780952184093,0.02205195070327152,1.0200749352169602,0.0,0.02205195070327152,0.003955849890760253,1.8662224698884222e-10,2.8385698848123924e-11,4.938575772156426e+30,3.333732912729852e+33,-0.003947781519634718,24,0.0021140667730448924,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.23296519999434234,119.04521719710894,0.8321021857913182,14.183358258726894,100.0,0.15085141063234134,0.5099061926435908,0.7239459188391486,46.03885155799258,46.190856663754786,0.022056406270778945,1.0188043005710925,0.0,0.022056406270778945,0.003918324826877169,1.8646875554412283e-10,2.812907481268815e-11,1.1693644739694517e+31,2.3523830497058418e+33,-0.003296231687657248,21,0.002767223910257294,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.26634076546293006,136.10013115155726,0.7097300459136902,8.091181930565991,100.0,0.14952248305969493,0.50995548864731,0.6724609211070902,46.04764911002383,46.114222217370774,0.022063591901197003,1.0174453798451808,0.0,0.022063591901197003,0.003879000891347852,1.8652241842210668e-10,2.7889295148772776e-11,2.4962479234631323e+31,1.634224245448119e+33,-0.0014446998084379685,19,0.002379347010124879,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.29944420413843864,153.01598831474215,0.6149198184992551,5.126426340902225,100.0,0.1482423575340649,0.5100648439719571,0.6250893814969742,45.96568389774721,46.03504432874288,0.022074488663760244,1.016200064170535,0.0,0.022074488663760244,0.0038419076950115924,1.8623033375211184e-10,2.7607223719768798e-11,4.455984124791399e+31,1.1710436355546649e+33,-0.001507823806916226,17,0.002957550769536555,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.3423438288019262,174.9376965177843,0.519726588504143,3.1339307981691085,100.0,0.14667479262550392,0.5102541427083042,0.5694697200000087,45.85919366964371,45.93343047417297,0.022091598629475344,1.0147429097103406,0.0,0.022091598629475344,0.003797240043703656,1.8586784269407235e-10,2.7262127282902844e-11,8.0159726762593605e+31,7.872905397693974e+32,-0.0016174898889101444,16,0.0015225731219491198,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.3913894324853229,200.0,0.43745691891491445,1.9758100822739164,100.0,0.1450075503182347,0.5105215994259031,0.5135505200494799,45.71601901560699,45.81984280707419,0.02211450315564045,1.0132830583479915,0.0,0.02211450315564045,0.003750641225308921,1.8538467518080049e-10,2.6882177614509522e-11,1.3332337399990042e+32,5.2047118466240336e+32,-0.0022684843715484364,14,0.0023392299672739475,True,4000,8,True,input_equilibrium_curve,0
