kTe_keV,theta,tau_T,fixed_xi,eta,p_sc,A_model,downward_flux_model,effective_albedo_ireflect_xi100,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,hemisphere_mu_order,observer_mu,exact_angles
80.0,0.15655577299412915,1.25,100.0,0.5107411794586051,0.8427849264975084,40.36163925237439,1.637423337685543e-10,0.14989148840489394,29,0.0029551217278972453,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,2.0,100.0,0.5064855949528783,0.9397058353557599,213.32205611839305,8.582111714727219e-10,0.1866385412920817,35,0.002941346539825716,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,3.2,100.0,0.507781810856897,0.9859090987545316,1039.7088976335497,4.1935343536283755e-09,0.19219025209788293,43,0.002919377933495354,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,5.0,100.0,0.5160117791768563,0.9982423704474761,4261.214629043922,1.7465632964006583e-08,0.1831096684966886,55,0.0027245368430612125,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,8.0,100.0,0.5334236179975972,0.9999375805511471,29281.059255651973,1.240652996066496e-07,0.16985635779133224,84,0.0029942078458834484,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,10.0,100.0,0.5253262249934629,0.9999928882367942,194783.07601590874,8.127773759785882e-07,0.16224483652566846,150,0.0029950622991863104,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,0.03,100.0,0.6021310947915498,0.05634905249797795,0.15956825542364375,7.631832966535295e-13,0.003611490922244353,10,0.0004924124788926283,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,0.05,100.0,0.5949729459682753,0.0905651716599658,0.27534537178487617,1.301266662942314e-12,0.0044719660643915875,11,0.0005379830322327189,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,0.08,100.0,0.5852848395877008,0.13803166241566767,0.4673822544033759,2.172855263606034e-12,0.0064735306904507,12,0.0007110144536937781,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,0.13,100.0,0.5712823396943305,0.209117235687593,0.8519078392294475,3.865758485375105e-12,0.012082783706139827,13,0.0013046463978840506,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,0.2,100.0,0.5553383682556474,0.2957469179913349,1.5840505981781339,6.987439074464968e-12,0.024751129015114805,14,0.0022624618279801834,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,0.32,100.0,0.5360234796426044,0.41804962414535984,3.7015068703881933,1.5759908001869613e-11,0.055150057025249784,16,0.00199794802171335,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,0.5,100.0,0.5202138919132084,0.5567992678267955,10.617117602617473,4.3871236790076375e-11,0.10140339775410732,18,0.0023947798890154425,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,0.8,100.0,0.5102991273902835,0.7113758465887309,41.9116675524493,1.698834494843585e-10,0.14845991103089617,21,0.002208883422467052,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,1.25,100.0,0.5066853839454828,0.8427723923754179,174.89399016073682,7.038896304175765e-10,0.1714339999948629,24,0.0027893027026970585,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,2.0,100.0,0.5069395854809147,0.9396985538459119,747.0997080531697,3.0083341694206918e-09,0.1724418531438643,29,0.0022043227537789528,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,3.2,100.0,0.512220803852637,0.9859065129805532,2624.6053602270354,1.0678555994939077e-08,0.16059268559951304,34,0.0029887198253680924,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,5.0,100.0,0.5275964270628588,0.9982418869867055,7323.43576313703,3.0690787118992474e-08,0.14660743300926532,43,0.002521346667952072,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,8.0,100.0,0.5610345868517951,0.9999375540566603,25303.790442582438,1.1276297424657254e-07,0.1339861304581861,60,0.0029762427546752976,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
120.0,0.23483365949119372,10.0,100.0,0.5713888283014176,0.9999928845186765,66364.63106773442,3.0120330559716886e-07,0.12807951221810576,82,0.0029878113726086388,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,0.03,100.0,0.6110388560530811,0.05634504077739533,0.3137359257529696,1.5227351920203115e-12,0.01801629933765438,8,0.001911676270785945,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,0.05,100.0,0.5929022734359832,0.09055892282693434,0.5964664473829071,2.809056268732128e-12,0.0251981229507175,9,0.0011433374471167218,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,0.08,100.0,0.5714473278177926,0.13802250765380242,1.1720687156407634,5.32010966712695e-12,0.03925927126173268,10,0.0008955127346544417,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,0.13,100.0,0.5474602277033728,0.20910411174740318,2.6815678464338575,1.1660916022295311e-11,0.06508676725344704,11,0.0010365343584017434,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,0.2,100.0,0.5290389130020289,0.29572959469126014,6.453675865629334,2.711977431640493e-11,0.09616067688855633,12,0.0012535965776874147,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,0.32,100.0,0.5155931786777852,0.4180277549913938,19.883192920962966,8.14300298204175e-11,0.12927896790672944,13,0.0021421253790254963,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,0.5,100.0,0.5090982782745725,0.5567745636809325,66.24695899309263,2.678914666684835e-10,0.14952236939088925,15,0.0014278131112771691,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,0.8,100.0,0.5066177337847417,0.7113515962040229,251.31879560883368,1.0113387834413847e-09,0.15484785325115658,17,0.0015759854103822464,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,1.25,100.0,0.5069363316037339,0.8427528547838102,858.7524754280767,3.4579023455328927e-09,0.1477915016717379,19,0.0021197453888329933,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,2.0,100.0,0.5104457214120051,0.9396872031008284,2702.202977557742,1.0956171974129613e-08,0.13366331094952483,22,0.002196466943520598,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,3.2,100.0,0.5207877076042519,0.9859024817945147,6771.554064362316,2.8011758891738653e-08,0.11833479342506303,26,0.002213488855722993,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,5.0,100.0,0.5448325747807263,0.9982411331784715,13381.992668779341,5.791287930206763e-08,0.10623312170498321,31,0.002673340594815223,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,8.0,100.0,0.5923847312035259,0.9999375127377105,27706.719554748157,1.303707816277678e-07,0.09703830227661718,41,0.002938433288628148,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
200.0,0.3913894324853229,10.0,100.0,0.6174095784730294,0.9999928787193334,45313.1173741434,2.2222279640671633e-07,0.09328585781744765,51,0.0027260945661900485,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
