tau_T,A_model_kTe_10,A_model_kTe_11p0146,A_model_kTe_12p1321,A_model_kTe_13p3631,A_model_kTe_14p7189,A_model_kTe_16p2123,A_model_kTe_17p8572,A_model_kTe_19p6689,A_model_kTe_21p6646,A_model_kTe_23p8626,A_model_kTe_26p2837,A_model_kTe_28p9505,A_model_kTe_31p8878,A_model_kTe_35p1231,A_model_kTe_38p6867,A_model_kTe_42p6119,A_model_kTe_46p9353,A_model_kTe_51p6973,A_model_kTe_56p9425,A_model_kTe_62p7199,A_model_kTe_69p0835,A_model_kTe_76p0927,A_model_kTe_83p813,A_model_kTe_92p3167,A_model_kTe_101p683,A_model_kTe_112,A_model_kTe_123p363,A_model_kTe_135p88,A_model_kTe_149p666,A_model_kTe_164p851,A_model_kTe_181p577,A_model_kTe_200
0.1954128451785861,0.3172156127449958,0.3208659499312159,0.3249517306986329,0.3295337271959976,0.3346836012663568,0.3404856111836571,0.3470388960491201,0.3544603639002465,0.3628884292397822,0.372488147839946,0.383458242377077,0.3960406611940289,0.4105336658097276,0.4273092919145086,0.4468379497191451,0.4697221841106581,0.4967445262149822,0.5289361531342939,0.5676766467588625,0.6148422344788832,0.673026617136167,0.7458740215261378,0.8385790624875137,0.9586435108046748,1.116991234565963,1.329640031592895,1.6200541479625,2.022627931106748,2.587181847158388,3.385702181232575,4.519675178372982,6.132398280030016
0.2356873608638661,0.3676516457558526,0.3720986599947286,0.3770824424876331,0.3826794283178089,0.3889801127086689,0.3960914176634257,0.4041398535837142,0.4132755518146896,0.4236775402880831,0.4355610141781201,0.4491873482092291,0.464877853678159,0.4830328238831555,0.5041574919383249,0.5288990244098851,0.5580984486717731,0.5928656365017473,0.6346888682800573,0.6855971138518588,0.7484042785205227,0.8270771427391269,0.9272939562727729,1.057292477759877,1.229125986536507,1.460572632151263,1.77781807175527,2.219507872073275,2.841951233538635,3.727099051031244,4.991215545536669,6.799541837048734,9.377241062748789
0.2842624394532966,0.4239690961144018,0.4293975841954317,0.4354905913582559,0.4423450186756933,0.4500761471403704,0.4588209774209412,0.4687426919058016,0.4800364060404095,0.4929367851169278,0.5077285953463663,0.5247613570230972,0.5444697196169898,0.5674020477197207,0.5942602684735018,0.6259574562097101,0.663700534852495,0.709111994999004,0.7644108730036323,0.8326853364190874,0.9183075363364795,1.027562453493917,1.169607639893005,1.357929098490312,1.612474610380823,1.962891684771041,2.452968157110202,3.147130965042491,4.139590235035643,5.564590691674428,7.614323329830672,10.55172453209438,14.74289401000087
0.3428488239155618,0.4861715147050316,0.4928150549792791,0.5002857360014421,0.5087076258504234,0.5182291890167913,0.5290280985202571,0.5413176816482584,0.555355333202473,0.5714538133001797,0.5899970169011669,0.6114621139004935,0.6364507775236822,0.6657336937307966,0.7003140744089413,0.7415209307045579,0.7911460343821942,0.8516491883381243,0.9264684827028408,1.020493967133961,1.140789908970383,1.297702090396325,1.506532317426694,1.790078630431818,2.182275400156023,2.733626473013907,3.518987796002718,4.647229976309552,6.276735583435877,8.630409498219679,12.02019433234677,16.87910473691678,23.77025791128034
0.4135098407174411,0.554059491924229,0.5622167562976234,0.571410692096742,0.5818021341640128,0.5935849175525274,0.6069929858554622,0.6223099661553431,0.6398818558398083,0.660134332496898,0.6835971716617646,0.7109390005684819,0.743017148645675,0.7809499914118133,0.8262226649001456,0.8808449491806303,0.9475880943417159,1.030345185811496,1.13468367206945,1.268690071460518,1.444272110259035,1.679133929049009,1.999778084269836,2.445836821053209,3.076542499616908,3.979701479529852,5.284730593581902,7.17758694572659,9.924049995210593,13.89944734045556,19.60840230858888,27.74643055424816,39.19996289280894
0.498734067153387,0.627238044258992,0.6372966105050091,0.6486659789314461,0.6615579377682629,0.6762299751608823,0.6929960988665483,0.7122415457630515,0.7344426244251044,0.7601942896874538,0.7902495844792534,0.8255767171886746,0.8674425096420842,0.9175358960920859,0.9781525666336768,1.052475301248019,1.145001816972921,1.26220321970806,1.413538276795057,1.613013227759281,1.881560897988167,2.250664245041256,2.767563874238106,3.503100582800725,4.562554198613037,6.100666250896735,8.343134627906117,11.60827333518414,16.34415114087122,23.17204232854412,32.90708196789522,46.63349629665781,65.77891372559394
0.6015229753850641,0.7051719545052132,0.717644419240985,0.7317933760782511,0.7479033191657356,0.7663239163945944,0.7874870880528294,0.8119305408818059,0.8403301959190358,0.8735462075991502,0.9126899410295936,0.9592227549327389,1.015103449975651,1.083010712947628,1.166682497260909,1.271438187417862,1.404984634618829,1.578662454312125,1.809363880270313,2.122462183282768,2.556222848360698,3.168332087814177,4.045351051607602,5.316070838390639,7.169827499928049,9.882641249213199,13.84328254325696,19.59861604262448,27.89570755964937,39.75124426035243,56.45783848022307,79.70273177642005,111.5824027035751
0.725496639885277,0.7873106662399628,0.8028920159314864,0.8206500312719286,0.8409767779952091,0.8643607681985945,0.8914151434539538,0.9229172257751067,0.9598643676112547,1.003555105498677,1.055709626118445,1.118651208001681,1.195582156532341,1.291007517824234,1.411389614992338,1.566167024198126,1.769323778322033,2.041813398269915,2.415247520079914,2.937441293204915,3.680584697799861,4.753021847035909,6.315794042009762,8.605217638891773,11.96269348419239,16.87272832068579,24.00958808762707,34.29210697261639,48.94511980878846,69.6005756054999,98.250480940413,137.4511828776405,190.2864972802096
0.8750212311473027,0.8733209733553564,0.8929849592732327,0.9155323649548214,0.9415218145835758,0.971661509648973,1.006858341038885,1.048288407118901,1.097499366156963,1.156562819455068,1.228305488588688,1.316663255230707,1.427229652111539,1.568102895613158,1.751213569175125,1.994362686356655,2.324343144613155,2.781776567040995,3.428132403893321,4.356195386694299,5.704929162382329,7.679248385561113,10.58092709064233,14.84123875873983,21.06916877999671,30.10659066627176,43.09287274482191,61.53618711793013,87.38799969687666,123.1967442503852,171.9069449341705,237.2592736331957,323.6130818864214
1.055362785800932,0.9635042703170642,0.9886764734775962,1.017774727880523,1.051630871680235,1.091323021836024,1.138267024297006,1.194351262894047,1.262137920208929,1.345169450004502,1.448441871344956,1.5791407609421,1.747781012634323,1.969992138889177,2.269236246199442,2.681049669236796,3.259206880896394,4.085320666702459,5.281618933799615,7.031341548962993,9.60320204514727,13.3842763574467,18.93348755140565,27.0247547039935,38.71986898535071,55.44163162775307,79.0548359012149,111.9488431929356,157.1161799832289,218.219909819713,299.6430923711349,406.5131129231074,544.6953209564665
