model,f_corona,g_feedback,d_ratio,theta,kTe_keV,tau_T,l_diss_local,fixed_xi,effective_albedo,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_h_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,returning_reflection_over_l_diss,downward_flux_model,reflected_flux_model_hemisphere,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,last_scatter_order,last_difmax,converged,max_scatter,hemisphere_mu_order,exact_angles,root_method,root_iterations
compPSc-fg,0.1,1.0,9.0,0.22909875420682294,117.06946339968653,0.030354284869889205,11192.760885446143,100.0,0.003298615892795408,0.6010361508191281,0.0569761269206025,0.15747953169475068,0.15761401571697733,9.938373666131966,1.5664269832149174,9.0,0.9383736661319667,0.0031055783987460235,7.518237028090064e-13,2.47997761466608e-15,2.511938137898199e+22,3.146903253978276e+30,-0.0008536133570324429,10,0.0006064590889688492,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.019569471624266144,10.0,1.9221570425012446,1.2460902038256155e+25,100.0,2.282059658960777e-05,0.6040600229265086,0.9335681960777253,1.323852438752855,1.3277684670718155,2.536792611005129,3.3682732363933887,2.3333333333333335,0.20345927767179556,4.643168058026188e-06,6.3520071619729204e-12,1.4495659297768337e-16,1.0025325610691204e-16,1.5566732069607266e+34,-0.002953688558874121,86,0.0028049539634290334,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.022373075687865465,11.432641676499253,1.6835494738657797,2.2123083039764776e+22,100.0,2.6581829595446465e-05,0.5939309893025533,0.9102413617467475,1.3002890280977057,1.3055829984039613,2.529469838484815,3.302432816101389,2.3333333333333335,0.19613650515148162,5.21380574987908e-06,6.134330747464246e-12,1.6306173461120232e-16,2.4379710098316023e-11,1.193218109481988e+34,-0.004063114025207286,76,0.0026347105588559443,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.025578335754056297,13.070529570322767,1.4741687544513462,8.23551220424459e+19,100.0,3.2205290053005466e-05,0.5847597255136698,0.8826337126945621,1.27634741830659,1.279151320942444,2.5219696211411966,3.225980772259477,2.3333333333333335,0.18863628780786326,6.07528201959405e-06,5.928402234716495e-12,1.909259135199305e-16,1.3474979941448904e-06,9.139224751184999e+33,-0.002194408252256766,67,0.0027110928340719647,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.028757461816806225,14.695062988387981,1.3050528847857925,1.1201728919060973e+18,100.0,3.8062928722773906e-05,0.5773597062480361,0.8537728105490173,1.2497421919108889,1.2513835468891374,2.515037481850282,3.1472765245969305,2.3333333333333335,0.18170414851694822,6.916455314178561e-06,5.731366856062085e-12,2.1815260812635993e-16,0.005701634758466267,7.15433892841396e+33,-0.0013124931613056796,60,0.0027961495932361698,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.03287737564771548,16.80033895598261,1.1255455304917796,1.5239582107994014e+16,100.0,4.5632705057878034e-05,0.5697000203327802,0.8146425861079205,1.2103488991403657,1.2135873342940553,2.5066289178902497,3.04201310652682,2.3333333333333335,0.173295584556916,7.908307175367151e-06,5.477067824091132e-12,2.499334205987444e-16,22.875384327084262,5.312690495142378e+33,-0.002672048081006543,53,0.0027889822857631186,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.037587525504399366,19.207225532748076,0.9714084918484682,325706138812498.06,100.0,5.722135777172627e-05,0.563519942418376,0.7719492292839214,1.1696855345380492,1.1722151967804095,2.4983570201965875,2.92861206605746,2.3333333333333335,0.165023686863254,9.443419792114094e-06,5.235639233217115e-12,2.995903857276032e-16,37223.0600690308,3.9487893012336526e+33,-0.002160350515615586,47,0.0027995579452110794,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.042972471059807484,21.958932711561623,0.8366946585455142,10546378470028.08,100.0,7.388611013359433e-05,0.5586681328567566,0.7257378636702436,1.1258753739292358,1.1273232531975723,2.4901513740008028,2.807205547892989,2.3333333333333335,0.15681804066746918,1.1587531181296139e-05,4.996150633379397e-12,3.691461359418972e-16,26266499.4664311,2.921520265652094e+33,-0.0012851769481760631,42,0.0026153106305977607,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.048313510603607224,24.688203918443293,0.7318277133075722,714655142107.6749,100.0,9.393208054119164e-05,0.5554356005161954,0.6825522679375062,1.0840479093204107,1.085295205455527,2.482997225347437,2.6947849838289497,2.3333333333333335,0.14966389201410324,1.4059561402631e-05,4.782703885852801e-12,4.492493266105955e-16,4363145324.898855,2.2283978165231192e+33,-0.001149929915711592,38,0.002585255795178419,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.055235105486478836,28.225138903590686,0.6260677230731643,44340545026.74255,100.0,0.00012641557618686122,0.5528957557624371,0.6310983817331077,1.0336277757812267,1.035149068870742,2.4749649802105664,2.561957694752663,2.3333333333333335,0.14163164687723315,1.7906709933333326e-05,4.539402911335553e-12,5.738512345807992e-16,825956636553.506,1.6239000727044072e+33,-0.001470717702262186,34,0.002515060173878791,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.06314831689905508,32.268789935417146,0.5349684737398007,3545524061.178751,100.0,0.00017570576746686042,0.5515661416786556,0.5790420810633705,0.9831834920195343,0.9843544120414452,2.467266728607861,2.428664889988211,2.3333333333333335,0.13393339527452763,2.3537005593784982e-05,4.307482099001342e-12,7.568494480547937e-16,93812920011634.12,1.1792979075739513e+33,-0.0011902389862254482,31,0.0019046464115899987,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.07219520795809188,36.891751266584954,0.4553974168368711,360251696.5641941,100.0,0.00024933165467784746,0.551321090139106,0.526498445134217,0.9314851479460582,0.9330362978925781,2.459836405785841,2.2951166534758065,2.3333333333333335,0.12650307245250747,3.154908656237149e-05,4.079170379543602e-12,1.0170663004444693e-15,6540008856274781.0,8.487707524767867e+32,-0.001663858903672663,28,0.001725776593157752,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.08253819433452123,42.17701730494035,0.3874996289639196,43929060.01819326,100.0,0.00036479350103522706,0.552106326799573,0.47546800602134964,0.882491999875208,0.8831584840994375,2.4528920799525693,2.1662924509904276,2.3333333333333335,0.11955874661923593,4.3630169760992556e-05,3.870123333957023e-12,1.4117958404323078e-15,3.157489665815529e+17,6.093204564194257e+32,-0.000754944720864598,25,0.0020008392120380095,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.0927968494442299,47.419190066001484,0.3352285374271459,8114224.813784016,100.0,0.000514748601569539,0.5535399642588752,0.43166168298835506,0.8398179941865314,0.8403187090836558,2.4471016724857653,2.0563453184196936,2.3333333333333335,0.11376833915243197,5.859225376229033e-05,3.69254215112682e-12,1.9007309085291076e-15,6.862864603116829e+18,4.5185542740934764e+32,-0.0005960406804680819,23,0.001799014691019956,True,4000,8,True,input_equilibrium_curve,0
