tau_T,p_sc_kTe_10,p_sc_kTe_11p0146,p_sc_kTe_12p1321,p_sc_kTe_13p3631,p_sc_kTe_14p7189,p_sc_kTe_16p2123,p_sc_kTe_17p8572,p_sc_kTe_19p6689,p_sc_kTe_21p6646,p_sc_kTe_23p8626,p_sc_kTe_26p2837,p_sc_kTe_28p9505,p_sc_kTe_31p8878,p_sc_kTe_35p1231,p_sc_kTe_38p6867,p_sc_kTe_42p6119,p_sc_kTe_46p9353,p_sc_kTe_51p6973,p_sc_kTe_56p9425,p_sc_kTe_62p7199,p_sc_kTe_69p0835,p_sc_kTe_76p0927,p_sc_kTe_83p813,p_sc_kTe_92p3167,p_sc_kTe_101p683,p_sc_kTe_112,p_sc_kTe_123p363,p_sc_kTe_135p88,p_sc_kTe_149p666,p_sc_kTe_164p851,p_sc_kTe_181p577,p_sc_kTe_200
0.3428488239155618,0.4383346353085976,0.4383340343282358,0.4383333768686879,0.4383326581025141,0.4383318728871208,0.4383310157643988,0.4383300809653486,0.4383290624207699,0.4383279537791903,0.4383267484332747,0.4383254395559881,0.4383240201477587,0.4383224830957667,0.4383208212462605,0.4383190274904238,0.438317094863758,0.4383150166581585,0.4383127865448183,0.4383103987047609,0.4383078479621522,0.438305129949674,0.4383022410299591,0.4382991788205918,0.4382959417450311,0.4382925293423332,0.4382889421117993,0.4382851813352993,0.4382812488176803,0.4382771464678592,0.4382728757518746,0.4382684369828438,0.4382638284561809
0.4135098407174411,0.4957709036490912,0.4957702667476942,0.4957695699911525,0.4957688082634412,0.495767976114535,0.4957670677600232,0.4957660770860092,0.4957649976604372,0.4957638227520902,0.4957625453585731,0.4957611582446381,0.4957596539921599,0.4957580250629674,0.495756263875478,0.4957543628956943,0.4957523147425232,0.495750112306548,0.4957477488802772,0.4957452182964756,0.4957425150694448,0.4957396345702816,0.4957365729436153,0.4957333276639934,0.4957298970599623,0.4957262806423059,0.495722478939408,0.4957184933089573,0.4957143256628342,0.4957099780231566,0.4957054519426227,0.4957007477519991,0.49569586364361
0.498734067153387,0.5560234255660002,0.5560227643971758,0.5560220410924005,0.5560212503406632,0.5560203864842149,0.5560194435181667,0.5560184150955738,0.5560172945391915,0.5560160748611933,0.5560147487922189,0.5560133088211543,0.5560117472470092,0.5560100562441379,0.5560082279417906,0.5560062545185724,0.5560041283117727,0.5560018419406587,0.5559993884416847,0.5559967614120916,0.5559939551565698,0.5559909648691947,0.5559877865469915,0.5559844175675268,0.5559808561948523,0.5559771019202562,0.5559731552913538,0.555969017716617,0.5559646911797733,0.5559601777789263,0.5559554791247885,0.5559505955594675,0.5559455252049814
0.6015229753850641,0.6178519015004951,0.6178512311259083,0.617850497750008,0.6178496959877731,0.6178488201026036,0.6178478640059109,0.6178468212622693,0.6178456851013333,0.6178444484378266,0.617843103900991,0.6178416438749161,0.6178400605511363,0.6178383459947532,0.6178364922250911,0.6178344913114677,0.6178323354840398,0.6178300172588109,0.6178275295747193,0.6178248659392349,0.6178220205770624,0.6178189886146114,0.6178157659923544,0.6178123500504711,0.6178087390279062,0.6178049324078756,0.6178009307445761,0.6177967354649927,0.6177923485793166,0.6177877722136343,0.6177830079997588,0.617778056283099,0.6177729151578708
0.725496639885277,0.6797203793678681,0.6797197177558609,0.6797189939657973,0.679718202682974,0.67971733824569,0.6797163946448377,0.6797153655289865,0.6797142442161388,0.6797130237134554,0.6797116967463148,0.6797102557981114,0.6797086931621594,0.6797070010069475,0.6797051714557343,0.6797031966810612,0.6797010690141461,0.6796987810682515,0.6796963258739777,0.679693697022953,0.6796908888145928,0.679687896438158,0.6796847158862569,0.6796813445328445,0.6796777806388228,0.6796740236930395,0.6796700742412639,0.6796659336905835,0.6796616040236015,0.6796570873372182,0.6796523852404122,0.6796474980724183,0.6796424239504872
0.8750212311473027,0.7398631269025431,0.7398624939948044,0.739861801606355,0.7398610446529932,0.7398602177185576,0.7398593150545334,0.7398583305849107,0.7398572579174281,0.7398560903624376,0.7398548209606983,0.7398534425214436,0.7398519476720276,0.7398503289203427,0.7398485787309571,0.7398466896155209,0.739844654237408,0.7398424655297284,0.7398401168247462,0.7398376019913337,0.7398349155753609,0.739832052973856,0.7398290103522589,0.7398257851973524,0.7398223758443094,0.7398187818029045,0.7398150035939116,0.7398110425619865,0.7398069006022556,0.7398025797190924,0.7397980814499947,0.7397934061176346,0.7397885519188582
1.055362785800932,0.7963945769101743,0.7963939931662487,0.7963933545617364,0.7963926564072878,0.7963918937073616,0.7963910611598585,0.796390153160599,0.7963891638136892,0.7963880869489158,0.7963869161473758,0.7963856447765809,0.7963842660362423,0.7963827730158338,0.7963811587648081,0.7963794163759745,0.7963775390820071,0.7963755203642839,0.7963733540722473,0.7963710345501784,0.7963685567666791,0.7963659164753037,0.7963631101382389,0.7963601354362946,0.7963569908326841,0.7963536758739057,0.7963501910388511,0.7963465375662202,0.7963427172023422,0.7963387317942069,0.7963345827580627,0.7963302703895137,0.7963257930232066
1.272872668693002,0.8474715247361202,0.8474710090839548,0.8474704449701967,0.8474698282524039,0.8474691545176394,0.8474684190821455,0.8474676169952944,0.8474667430487408,0.8474657917917834,0.8474647575539994,0.847463634476249,0.8474624165511127,0.8474610976737341,0.8474596717038393,0.8474581325393824,0.8474564742017902,0.8474546909320999,0.8474527772963927,0.8474507282977761,0.8474485394907609,0.8474462071231562,0.8474437280686493,0.8474411002773203,0.8474383223902991,0.8474353940055619,0.8474323155446405,0.8474290881001683,0.8474257132131091,0.8474221925132407,0.8474185272497051,0.847414717681525,0.8474107623352285
1.535211258634673,0.891508298864615,0.891507866145553,0.89150739275874,0.8915068752278802,0.8915063098496678,0.8915056926935101,0.8915050196048395,0.8915042862127897,0.8915034879430813,0.8915026200370118,0.8915016775774665,0.8915006555228477,0.8914995487497333,0.8914983521049147,0.8914970604671928,0.8914956688189047,0.8914941723265961,0.8914925664294914,0.8914908469334631,0.891489010107012,0.8914870528003405,0.8914849723887741,0.8914827671508313,0.8914804359448492,0.8914779784320424,0.8914753949646514,0.891472686458006,0.8914698542035752,0.8914668995672532,0.891463823595378,0.8914606265032166,0.8914573070519051
1.851617735699141,0.9274214295601739,0.9274210879154755,0.9274207141620778,0.927420305555257,0.9274198591710408,0.9274193719059858,0.9274188404797894,0.9274182614413462,0.927417631178917,0.9274169459351169,0.9274162018274477,0.9274153948750782,0.9274145210325205,0.9274135762307085,0.9274125564257818,0.9274114576555531,0.9274102761031954,0.9274090081670882,0.927407650535006,0.927406200259895,0.9274046548538868,0.9274030122436248,0.9274012710687729,0.9273994304266973,0.9273974900485866,0.927395450211144,0.927393311635575,0.9273910753399788,0.9273887424011172,0.9273863136433227,0.9273837892345904,0.9273811681945768
2.2332354715824,0.9548427578472178,0.9548425068965827,0.9548422323606729,0.9548419322233149,0.9548416043366554,0.9548412464209947,0.9548408560667018,0.9548404307386604,0.9548399677837343,0.9548394644417719,0.9548389178606839,0.9548383251161098,0.9548376832361485,0.9548369892315276,0.9548362401314311,0.9548354330249723,0.9548345651079695,0.9548336337342475,0.9548326364701285,0.9548315711500914,0.9548304359458292,0.954829229333432,0.954827950312663,0.9548265982194127,0.9548251728550745,0.9548236744216798,0.9548221034477004,0.9548204606796172,0.9548187469069166,0.9548169627335527,0.9548151082812175,0.9548131828278822
2.69350448279797,0.9742147516733696,0.9742145824076935,0.9742143972335997,0.9742141947911258,0.9742139736314789,0.9742137322169218,0.9742134689220622,0.9742131820368481,0.9742128697716007,0.9742125302644336,0.9742121615914183,0.9742117617798463,0.9742113288249051,0.9742108607100233,0.9742103554310321,0.9742098110241352,0.9742092255974549,0.9742085973656318,0.9742079246865772,0.9742072060990132,0.9742064403690526,0.9742056264680621,0.974204763720572,0.9742038516777718,0.9742028902047817,0.9742018794369018,0.9742008197295647,0.9741997115851947,0.9741985555351548,0.9741973519855769,0.9741961010171827,0.9741948021414261
3.248634768331045,0.9867023799302108,0.9867022767144991,0.9867021637979246,0.9867020403511609,0.9867019054907047,0.9867017582788054,0.9867015977242494,0.9867014227841845,0.9867012323671871,0.9867010253377831,0.9867008005226452,0.9867005567186754,0.9867002927031727,0.9867000072462351,0.9866996991254899,0.9866993671431474,0.9866990101452335,0.986698627042687,0.986698216833768,0.9866977786269496,0.9866973116693211,0.9866968153330882,0.9866962892057719,0.9866957330130657,0.9866951466720564,0.986694530264547,0.9866938840065375,0.9866932082036207,0.9866925031789872,0.9866917691793979,0.9866910062530928,0.9866902141010507
3.918177202009464,0.9939260391592621,0.9939259833333,0.9939259222603692,0.9939258554918876,0.9939257825499649,0.9939257029273634,0.993925616087921,0.9939255214675371,0.9939254184758296,0.9939253064985789,0.9939251849010775,0.993925053032501,0.9939249102314041,0.9939247558324271,0.9939245891742617,0.9939244096088721,0.9939242165118958,0.9939240092940533,0.993923787413267,0.9939235503870417,0.9939232978078273,0.9939230293357166,0.9939227447472344,0.9939224438936115,0.9939221267295738,0.9939217932989133,0.9939214437179811,0.9939210781515603,0.9939206967739203,0.9939202997179503,0.9939198870091066,0.993919458484941
4.725712085582868,0.9976000898037207,0.9976000636444818,0.997600035026537,0.9976000037396721,0.9975999695599361,0.9975999322496227,0.9975998915574676,0.9975998472191095,0.9975997989578663,0.9975997464858789,0.9975996895056802,0.9975996277122421,0.9975995607955497,0.997599488443743,0.9975994103468484,0.9975993262010983,0.997599235713804,0.9975991386087019,0.9975990346316302,0.9975989235563318,0.9975988051916514,0.9975986793781147,0.9975985460107915,0.9975984050197425,0.9975982563835118,0.9975981001223657,0.9975979362905568,0.9975977649650183,0.9975975862271101,0.9975974001387788,0.9975972067115962,0.9975970058690375
5.699679612338785,0.9992027604935063,0.9992027501738252,0.999202738884173,0.9992027265416139,0.9992027130577921,0.9992026983389228,0.9992026822858714,0.9992026647943335,0.9992026457551416,0.9992026250547159,0.9992026025756823,0.9992025781976797,0.9992025517983754,0.9992025232547033,0.9992024924443359,0.9992024592473877,0.9992024235483372,0.9992023852381352,0.9992023442164447,0.9992023003939291,0.9992022536950922,0.9992022040569277,0.9992021514379407,0.9992020958104324,0.9992020371658245,0.9992019755119912,0.9992019108702085,0.9992018432706923,0.9992017727453967,0.9992016993186059,0.9992016229947162,0.9992015437433475
6.874381488965292,0.9997847608353566,0.9997847575234017,0.9997847539001389,0.9997847499389483,0.9997847456114701,0.9997847408876014,0.9997847357355213,0.9997847301217493,0.9997847240112426,0.9997847173675413,0.9997847101529663,0.9997847023288784,0.9997846938560035,0.9997846846948306,0.9997846748060831,0.999784664151266,0.9997846526932821,0.999784640397109,0.9997846272305173,0.9997846131648052,0.99978459817571,0.9997845822429745,0.9997845653532428,0.9997845474975837,0.9997845286732002,0.9997845088825733,0.9997844881324823,0.9997844664325732,0.9997844437930467,0.9997844202216373,0.9997843957196909,0.9997843702773842
8.291188991311971,,,,,,,,,,,,,0.9999546290163408,0.9999546267193457,0.999954624239903,0.9999546215683556,0.999954618695396,0.9999546156122362,0.9999546123107874,0.9999546087838445,0.9999546050253144,0.9999546010301077,0.9999545967948639,0.9999545923173315,0.9999545875967961,0.9999545826338659,0.9999545774302258,0.9999545719882789,0.9999545663105661,0.9999545603990091,0.9999545542539258,0.999954547872831
10,,,,,,,,,,,,,,,,,,,,0.999992890087692,0.9999928893862977,0.9999928886407233,0.9999928878503391,0.9999928870147222,0.9999928861337366,0.9999928852074923,0.9999928842363007,0.9999928832206065,0.9999928821608804,0.9999928810574769,0.9999928799104506,0.9999928787193334
