tau_T,effective_albedo_ireflect_xi100_kTe_10,effective_albedo_ireflect_xi100_kTe_11p0146,effective_albedo_ireflect_xi100_kTe_12p1321,effective_albedo_ireflect_xi100_kTe_13p3631,effective_albedo_ireflect_xi100_kTe_14p7189,effective_albedo_ireflect_xi100_kTe_16p2123,effective_albedo_ireflect_xi100_kTe_17p8572,effective_albedo_ireflect_xi100_kTe_19p6689,effective_albedo_ireflect_xi100_kTe_21p6646,effective_albedo_ireflect_xi100_kTe_23p8626,effective_albedo_ireflect_xi100_kTe_26p2837,effective_albedo_ireflect_xi100_kTe_28p9505,effective_albedo_ireflect_xi100_kTe_31p8878,effective_albedo_ireflect_xi100_kTe_35p1231,effective_albedo_ireflect_xi100_kTe_38p6867,effective_albedo_ireflect_xi100_kTe_42p6119,effective_albedo_ireflect_xi100_kTe_46p9353,effective_albedo_ireflect_xi100_kTe_51p6973,effective_albedo_ireflect_xi100_kTe_56p9425,effective_albedo_ireflect_xi100_kTe_62p7199,effective_albedo_ireflect_xi100_kTe_69p0835,effective_albedo_ireflect_xi100_kTe_76p0927,effective_albedo_ireflect_xi100_kTe_83p813,effective_albedo_ireflect_xi100_kTe_92p3167,effective_albedo_ireflect_xi100_kTe_101p683,effective_albedo_ireflect_xi100_kTe_112,effective_albedo_ireflect_xi100_kTe_123p363,effective_albedo_ireflect_xi100_kTe_135p88,effective_albedo_ireflect_xi100_kTe_149p666,effective_albedo_ireflect_xi100_kTe_164p851,effective_albedo_ireflect_xi100_kTe_181p577,effective_albedo_ireflect_xi100_kTe_200
0.1954128451785861,2.904236650648098e-08,4.41168540639777e-08,6.765901336037267e-08,1.049021980010693e-07,1.647704813035302e-07,2.629953544051678e-07,4.281420902540683e-07,7.130868980117828e-07,1.216448985470165e-06,2.122035312643164e-06,3.770966274655023e-06,6.793262214587064e-06,1.23475268644919e-05,2.255682103325203e-05,4.129976348747146e-05,7.563589001953876e-05,0.0001383314438562826,0.00025220253144954,0.0004572452460177358,0.0008217828756399126,0.001458420160231706,0.002544521250995018,0.004341922946102921,0.007206723076532319,0.01156977819891937,0.01787779452944827,0.02647266537233598,0.03745329512155336,0.0505364352942425,0.06505566415121883,0.08002927792802429,0.09440559057757686
0.2356873608638661,3.67913983029976e-08,5.63339852965438e-08,8.709523457158231e-08,1.361801655892361e-07,2.159031977924236e-07,3.482998203405645e-07,5.73750902135887e-07,9.671585126200799e-07,1.667807873035117e-06,2.934159925942097e-06,5.244594883345692e-06,9.483602703184414e-06,1.728781873634999e-05,3.169214520106314e-05,5.833500612354956e-05,0.0001076811242543201,0.0001990128135990018,0.0003672804753784831,0.0006742259993611312,0.001225088253415775,0.002190562484871734,0.003830529815524866,0.0065091559762982,0.0106800005334497,0.01683067371013173,0.02535487696659897,0.0364039693934166,0.04972309317084818,0.06464013268238337,0.08012900097670707,0.09507823582592763,0.1084620128277642
0.2842624394532966,4.811520692850103e-08,7.432174728838011e-08,1.15946177071537e-07,1.830795205801119e-07,2.935400447942594e-07,4.796593845040864e-07,8.010647369489185e-07,1.368352172786485e-06,2.386646659679489e-06,4.23616709082144e-06,7.622937126652963e-06,1.386430709158946e-05,2.543558809097859e-05,4.702143122340601e-05,8.752108405246379e-05,0.0001637777319544915,0.000307234258450644,0.0005750661278700166,0.001067460841432529,0.001951465570014946,0.003487348500889433,0.006047998210382675,0.01011156137829299,0.01619827391346621,0.02475282427102355,0.03595512841428694,0.04957212656573295,0.06491262900778876,0.08089453777610053,0.09635117388146493,0.1102018473846027,0.1217059828284735
0.3428488239155618,6.521259927507889e-08,1.017160042184417e-07,1.603450328836731e-07,2.56212899107567e-07,4.165059119200883e-07,6.910984438121265e-07,1.172285002236138e-06,2.031201805085937e-06,3.585557738110629e-06,6.427740269524579e-06,1.167181711343807e-05,2.143762333082883e-05,3.980721502620897e-05,7.47027946094245e-05,0.0001414868292176611,0.0002695522350773534,0.0005137026379894343,0.0009721804518580705,0.001812209502414497,0.003299187331631289,0.00581965526507406,0.009875233909948794,0.01602401180680626,0.02473877369608398,0.03622471206190403,0.05024984752466995,0.0660561271064431,0.08253624084309906,0.09842517616231819,0.1126326777355154,0.1244005735684343,0.1333207145516138
0.4135098407174411,9.198360727020769e-08,1.450802134826559e-07,2.316119486424498e-07,3.756120033063246e-07,6.209929144517679e-07,1.048893909228494e-06,1.809831603159155e-06,3.183862116261385e-06,5.695673988417289e-06,1.034040395696244e-05,1.903613966036728e-05,3.554027634115046e-05,6.729402145974545e-05,0.0001290401664407066,0.000249603218054888,0.0004838004464649923,0.0009316362867383466,0.00176586391876,0.003263778377221316,0.005832680183867415,0.01000386914975732,0.01636768184497686,0.02541939774370106,0.03736088758534208,0.0519109281052251,0.06827158678918049,0.08522588166241343,0.1014813099409597,0.1159348368774415,0.1278007855279522,0.1367300249282683,0.1426905019457994
0.498734067153387,1.356717899099474e-07,2.168996313791067e-07,3.518351970478127e-07,5.812320056679954e-07,9.803753254245006e-07,1.6891308167282e-06,2.968632289753831e-06,5.311149036325585e-06,9.659692291394834e-06,1.785777266109233e-05,3.358111755707557e-05,6.425318636961124e-05,0.0001248712792837249,0.0002452853381775138,0.0004831275629576468,0.0009447825671942341,0.001815329894222871,0.003393419788408209,0.006117090911451163,0.01055388422925513,0.0173247783963107,0.02692797256659915,0.03952895891276943,0.05476691520360078,0.07173194099556642,0.08916208335129615,0.1056887544575634,0.1202124953060907,0.1320178692760211,0.1407733735328551,0.1465082847268215,0.1494493730450526
0.6015229753850641,2.105308862373272e-07,3.424498557166597e-07,5.668839114722127e-07,9.576776201993654e-07,1.652424615629363e-06,2.909323290316002e-06,5.219160156886356e-06,9.53377071675167e-06,1.77443872357734e-05,3.369337054650199e-05,6.528876809366558e-05,0.0001287899144175979,0.0002570100204423018,0.0005139398634652723,0.00101835880181661,0.001977061248010521,0.003722176653715499,0.006735337723139415,0.01162770418841853,0.0190406818179919,0.02945288081192677,0.04294464695683769,0.05902625715810333,0.07665685206761357,0.09449178763682325,0.1111449552265135,0.1255615591721639,0.137087442383276,0.1454824359568027,0.1508115876569281,0.1533624639653964,0.1535307250717867
0.725496639885277,3.46643054066893e-07,5.766351620199758e-07,9.786762386291945e-07,1.696389816464298e-06,3.00127213873395e-06,5.415162897353019e-06,9.965933763096862e-06,1.873466736232649e-05,3.6035308103467e-05,7.090980808332051e-05,0.0001422224358374515,0.0002884091533400412,0.0005847404699906803,0.001170602510018274,0.002287177990657844,0.00431581395574263,0.007796361957495644,0.01338790897099963,0.0217382950689663,0.03325908412313163,0.04788507208543825,0.06494203184016459,0.0832355657520968,0.1013355530602216,0.1179130105263763,0.1319868360997975,0.1430116024115832,0.1508318296751213,0.1555819020327906,0.1575850078389264,0.157253031684527,0.1550163190134607
0.8750212311473027,6.12778643146373e-07,1.048238904616654e-06,1.831439848838777e-06,3.267176569446386e-06,5.950155902792218e-06,1.107457841136648e-05,2.11115047874248e-05,4.129064457915053e-05,8.275637394564907e-05,0.0001690093254269616,0.0003480947887055985,0.0007139334417657467,0.00143865649086946,0.002815083058119418,0.00529358590170338,0.009484345974162488,0.01609230367760891,0.02573325155295981,0.03868506669195183,0.05465972750904891,0.07273367205424294,0.0915889099024062,0.1097556077110558,0.1259901390925745,0.1394481815813766,0.1497171932992749,0.1567517640378777,0.1607574680414532,0.1620752511195741,0.1611443020730614,0.1583902882067202,0.1542181006913703
1.055362785800932,1.180584463944119e-06,2.086868502571869e-06,3.768704933438647e-06,6.957674460248169e-06,1.315825222919059e-05,2.555914204100747e-05,5.104416644630927e-05,0.0001044865000443593,0.0002173719108619344,0.0004539112963149604,0.0009382126884924314,0.001893185085154455,0.003686880716164062,0.006859747438647953,0.01210501643407303,0.02013539034481131,0.03147507605397884,0.04615622720767502,0.06361194174695808,0.08266908220588638,0.1018399501178193,0.1197632504282187,0.1353217994501204,0.1478529291173142,0.1571041974820203,0.1631349559084672,0.1662253078994447,0.1667508544438946,0.1651353075368818,0.1618034771432387,0.1571475094179655,0.1515152661608722
