kTe_keV,theta,tau_T,fixed_xi,eta,p_sc,A_model,effective_albedo_ireflect_xi100,downward_flux_model,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,hemisphere_mu_order,observer_mu,exact_angles
123.36343339913483,0.24141572093764155,0.2842624394532966,100.0,0.5394653835460327,0.3845843751533544,3.147130965042491,0.04957212656573295,1.3485582263740705e-11,15,0.0027699318012108396,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,0.34284882391556176,100.0,0.5319346983109232,0.43828518133529926,4.647229976309552,0.0660561271064431,1.963558251751601e-11,16,0.0022776386599326817,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,0.4135098407174411,100.0,0.5251052786095045,0.49571849330895734,7.17758694572659,0.08522588166241343,2.993754272493061e-11,17,0.0020487932992764063,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,0.498734067153387,100.0,0.5192956071558518,0.555969017716617,11.60827333518414,0.10568875445756343,4.788214296274553e-11,18,0.002001896233634431,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,0.601522975385064,100.0,0.5146755165714337,0.6177967354649927,19.59861604262448,0.12556155917216394,8.012171158978545e-11,19,0.0021054317917999677,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,0.725496639885277,100.0,0.5112417609694755,0.6796659336905835,34.292106972616395,0.14301160241158317,1.3925532025589228e-10,20,0.0023578488330978473,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,0.8750212311473027,100.0,0.5088620453191868,0.7398110425619865,61.53618711793013,0.15675176403787772,2.4872643595995346e-10,21,0.0027787493399507425,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,1.0553627858009316,100.0,0.5073482506120764,0.7963465375662202,111.94884319293564,0.16622530789944473,4.511459696596209e-10,23,0.0019034747835757393,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,1.2728726686930016,100.0,0.5065443761639056,0.8474290881001683,203.66626537283045,0.17152756607643568,8.194602697356788e-10,24,0.0025445473461285146,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,1.5352112586346733,100.0,0.5063384012338293,0.891472686458006,366.58033061239706,0.17316228801347633,1.474352494879749e-09,26,0.0021350202727316633,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,1.851617735699141,100.0,0.5067169157340355,0.927393311635575,645.4560253245769,0.1718563431779809,2.597905601681688e-09,28,0.0019893396488896973,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,2.2332354715824,100.0,0.5077665934548988,0.9548221034477004,1102.3116134245242,0.16837431125011648,4.445901250343951e-09,30,0.0020355493883318825,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,2.6935044827979704,100.0,0.5097059897792385,0.9742008197295647,1815.8975453394742,0.16345174872594262,7.3519472655357555e-09,32,0.002263960621627398,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,3.2486347683310455,100.0,0.5129232226934947,0.9866938840065375,2881.885461918793,0.1577431780810304,1.1741413498539236e-08,34,0.0027121466280182146,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,3.918177202009464,100.0,0.5179782021746442,0.9939214437179811,4433.853453491582,0.15175453970949626,1.8242490268206898e-08,37,0.002692390156714672,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,4.7257120855828685,100.0,0.5255880420458983,0.9975979362905568,6699.489778827585,0.14588967450332982,2.796910112217843e-08,41,0.0024982570786893296,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,5.699679612338785,100.0,0.536475733854764,0.9992019108702085,10157.955103911338,0.14048043000659624,4.328602201641616e-08,45,0.002863111324037276,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,6.874381488965292,100.0,0.5504648349196624,0.9997844881324823,16143.153546222373,0.13549760580603315,7.05844869654766e-08,52,0.0026656963630194877,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,8.291188991311971,100.0,0.5656838382063223,0.9999545774302258,28536.406946831445,0.13085509966393083,1.2822253687770685e-07,61,0.0029821472756806763,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
123.36343339913483,0.24141572093764155,10.0,100.0,0.574339745129452,0.9999928842363007,63876.80703677582,0.12595922410318508,2.914092779746279e-07,80,0.0029072063424353755,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.03,100.0,0.6064323208093503,0.056348154222886415,0.18301482943091837,0.005641902378105679,8.815763392679144e-13,9,0.0019722415559818005,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.03618298899161007,100.0,0.6034830102845838,0.06717603498447156,0.22411915690218792,0.006045303291975118,1.0743241354054016e-12,10,0.00046558881864944767,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.04364028974556586,100.0,0.6000467964001073,0.07993158750432205,0.27549194117038395,0.006610092518886186,1.3130622782903691e-12,10,0.0009766826500360705,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.05263453744848279,100.0,0.596064521232876,0.09490520320315632,0.34026599653202755,0.007412350793185857,1.611028147890313e-12,10,0.0019634921631019433,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.06348249630256467,100.0,0.5914787819105071,0.1124146110765184,0.4228418543840295,0.008565050079155968,1.986590905982449e-12,11,0.000663869215013983,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.0765662154958542,100.0,0.586240213615985,0.13280221984419083,0.5295638603192375,0.010232400885295284,2.4659555827218352e-12,11,0.0014179123533642282,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.09234648441385787,100.0,0.580316348027754,0.15642962646000713,0.6698483194580347,0.01264791599846678,3.087682112227448e-12,11,0.0028709399389904833,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.11137906096535036,100.0,0.5737042404491713,0.18366754638332894,0.858119528685221,0.016132695758679965,3.910453715970309e-12,12,0.0013263743104031034,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.13433424456017132,100.0,0.5664507456807951,0.21487868757707418,1.117167576692767,0.021097528485172094,5.026570523003448e-12,12,0.00275973144304416,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.1620204830705645,100.0,0.5586669451406052,0.25039071198608454,1.4843212750575936,0.02803722139712062,6.586765359839056e-12,13,0.0015400849015078325,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.19541284517858606,100.0,0.5505512175068672,0.29045708444406715,2.022627931106748,0.03745329512155336,8.845146534772053e-12,14,0.0009600744610323382,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.23568736086386607,100.0,0.5423916228772048,0.3352059126882587,2.8419512335386345,0.04972309317084818,1.224393172449826e-11,14,0.002127558387421981,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.2842624394532966,100.0,0.5345406360359468,0.38458073081856436,4.139590235035643,0.06491262900778876,1.7576378014465934e-11,15,0.0015553600810874876,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.34284882391556176,100.0,0.527373574988173,0.43828124881768027,6.276735583435877,0.08253624084309906,2.6293203524811798e-11,16,0.0012560462441418402,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.4135098407174411,100.0,0.5212073306334918,0.49571432566283424,9.924049995210593,0.10148130994095975,4.108570686747202e-11,16,0.002808127966660764,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.498734067153387,100.0,0.5162150538006048,0.5559646911797733,16.344151140871215,0.12021249530609066,6.70169007169981e-11,17,0.002555558559478518,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.601522975385064,100.0,0.5124206475053109,0.6177923485793166,27.89570755964937,0.137087442383276,1.1354167765366422e-10,18,0.0025118203910839657,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
