d_ratio,theta,kTe_keV,tau_T,l_diss_local,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_c_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,root_method
0.25,0.02444312127604943,12.49043497206126,1.9772936322483807,2.837374629292662e+20,0.5796413701793417,0.9379912001371268,1.7973206203916383,1.798175009161587,1.5045494648517967,2.7054432477439403,0.25,1.2545494648517967,2.0431043220404387e-07,1.6448409314653478e+34,-0.0004752550825023855,continuation
0.25,0.027022155946779643,13.808321688804398,1.8711001642322178,2.1542791267724163e+18,0.5770405951992953,0.9291753607294915,1.8002347069589553,1.7994317581097545,1.4764605372635213,2.656789980347771,0.25,1.2264605372635213,0.0031709076758650164,1.4715924272434847e+34,0.0004461240341625078,continuation
0.25,0.029873308885782997,15.265260840635111,1.7601685185386786,2.9705417347552824e+16,0.5742419516868388,0.918549187012204,1.799787402844333,1.8002944852369929,1.4454517866433336,2.602238880169952,0.25,1.1954517866433336,14.742201862881391,1.300869317357049e+34,-0.0002817060343499932,continuation
0.25,0.03302529174737275,16.875924082907478,1.648214070041121,686590353835187.4,0.5712807183177154,0.9061106767689631,1.7999198621884676,1.8006920066405794,1.4121142330731093,2.54278281195814,0.25,1.1621142330731093,24165.32616111095,1.1391687331722367e+34,-0.0004288962499028876,continuation
0.25,0.03650984560060392,18.656531101908605,1.5362968531867371,24950309710013.44,0.5682225169470957,0.8916560024919769,1.800455783910048,1.8004017516696202,1.376826753550341,2.4788412988376303,0.25,1.126826753550341,15873769.459650988,9.881706496220107e+33,3.0010762657516935e-05,continuation
0.25,0.040362060567897325,20.625012950195533,1.4244703509332486,1347941237918.5205,0.5651387018333452,0.8748376896265572,1.7993740168584043,1.7991232667548593,1.3397882539996733,2.4104442202956813,0.25,1.0897882539996733,4666921683.232744,8.479542728668915e+33,0.0001393637867076301,continuation
0.25,0.04462072918927006,22.801192615717003,1.313858021484619,101805780753.42078,0.5621023112450384,0.8554449249916265,1.796219777252371,1.7966108911755516,1.3014279252166439,2.3381595845242233,0.25,1.0514279252166439,694446285543.3881,7.197530883871054e+33,-0.0002177190971801546,continuation
0.25,0.04932873707061831,25.206984643085956,1.2062730228318528,10138850339.22768,0.5591895380513897,0.8334736703849192,1.7919270393273672,1.7927034305384852,1.2624273509307204,2.2631578428191146,0.25,1.0124273509307204,58861086507530.016,6.050701094745016e+33,-0.0004331778295058447,continuation
0.25,0.05453349474995434,27.866615817226666,1.1031392974556908,1269039412.0719292,0.5564725615562115,0.8090103150894249,1.787247830685412,1.7872884983792205,1.2234607334861127,2.1866772971783344,0.25,0.9734607334861127,3132017189310398.0,5.043991626769848e+33,-2.275410854241874e-05,continuation
0.25,0.06028741513057389,30.80686913172326,1.0041931444412313,193679132.5752705,0.5540128927496338,0.7818482545484904,1.7797975739058032,1.7801465432996548,1.1847179466218185,2.108971557463895,0.25,0.9347179466218185,1.10997204422717e+17,4.1636834432624344e+33,-0.0001960532994227894,continuation
0.25,0.06664844128899688,34.05735349867741,0.9111232243017967,35007460.3710554,0.5518616315742602,0.7524168863747314,1.7719730095495705,1.7713656914336182,1.1469942316131014,2.0317462301517133,0.25,0.8969942316131015,2.784126122072233e+18,3.4120085974704717e+33,0.0003427942814108234,continuation
0.25,0.07368062997280773,37.650801916104754,0.8234259387733832,7352488.912752125,0.5500575783368435,0.7206452837035842,1.7616501559567843,1.760840214476861,1.110374825860574,1.9551926465180398,0.25,0.8603748258605738,5.127172127581674e+19,2.7717027595963893e+33,0.00045986867756725225,continuation
