theta,kTe_keV,eta_fixed,eta_reflect,tau_T_fixed,tau_T_reflect,tau_ratio_reflect_to_fixed,l_diss_fixed,l_diss_reflect,ldiss_ratio_reflect_to_fixed,effective_albedo_reflect,albedo_fixed,A_required_fixed,A_required_reflect,reflected_flux_model_observer,reflected_flux_model_hemisphere,downward_flux_model,observed_total_up_flux_reflect_model,energy_log_residual_fixed,energy_log_residual_reflect,root_method_fixed,root_method_reflect
0.044438415773643006,22.708030460331578,0.5606844711022942,0.5622095903100475,1.5115817197136436,1.3094685068230747,0.8662902506330538,36085253690.84433,146011563262.4608,4.04629449229859,0.0010645289964933019,0.2,2.229417906906759,1.7805915812891824,7.585384136549823e-08,6.769232682530342e-08,6.35889929239042e-05,4.959235399315951e-05,-9.365131581918278e-05,-0.0003172025288462641,continuation,continuation
0.04813172483469571,24.59531139052951,0.5584596921019271,0.5598843123775817,1.4219647922110419,1.2302162449998684,0.865152394587056,5573153777.583425,21379882821.229027,3.836226968511814,0.0012981226891077941,0.2,2.2382994111808814,1.7884048326874604,9.258523228133891e-08,8.262127400468224e-08,6.364673747553726e-05,5.012422035707224e-05,0.00041958254010968825,0.0003566057986889725,continuation,continuation
0.05213198749845863,26.639445611712365,0.5562832647739732,0.5576668361684999,1.3332728150224165,1.151969088667337,0.8640160330936988,1017328126.8440236,3698038205.159459,3.6350496045278824,0.0015621702162329726,0.2,2.2470566331127992,1.795990992205318,1.1140624025320976e-07,9.94154044152146e-08,6.363929063693556e-05,5.058915916677396e-05,0.0003461698267528714,-2.4829418768063638e-05,continuation,continuation
0.05646471490214215,28.85346931499464,0.5541865587262059,0.555585646939768,1.2460118515058503,1.0765742171258195,0.8640160330936987,215963734.52015138,727570983.2575034,3.3689498140698917,0.0018748275954855427,0.2,2.2555581334796653,1.8032833545913591,1.3377899710177338e-07,1.1937419303705839e-07,6.367209087625087e-05,5.106524425475095e-05,-0.000451140782400453,0.00017725082121453913,continuation,continuation
0.06115753843212785,31.251502138817333,0.5521739425173409,0.5536635981950958,1.1621685089500167,1.0034725537509261,0.8634484121907008,51349491.02041987,162085303.5528205,3.156512369097581,0.0022346757346340357,0.2,2.2637794067233514,1.810196090120366,1.5948479087689992e-07,1.4230617928785646e-07,6.368090774080983e-05,5.1495905168449954e-05,9.337963429626388e-05,-4.487484314708709e-05,continuation,continuation
0.06624038593941962,33.84883721504343,0.5503013007321423,0.5519189102438877,1.0804110113458834,0.9334924361338213,0.8640160330936987,13674830.022657346,40115170.442614205,2.9335041368813206,0.002656583764349197,0.2,2.2714829100657243,1.8166865483141212,1.897095522230219e-07,1.692657758579588e-07,6.371558018590282e-05,5.1917863949988486e-05,-0.0004468340136167613,7.650617950790202e-05,continuation,continuation
0.07174567260048893,36.66203869884985,0.5485704952953828,0.5503697422341504,1.002426828357371,0.8661128517040337,0.8640160330936988,4009120.26496455,11016335.652773483,2.7478187045284095,0.0031374447060063763,0.2,2.2786497099646708,1.8226789052282826,2.2405463390610322e-07,1.9989580306032098e-07,6.371293259053686e-05,5.227499440289061e-05,-8.05750015441934e-05,-0.0004473060864223905,continuation,continuation
0.0777085076407036,39.70904740439954,0.5470148791681583,0.5490193204202618,0.9276298934881052,0.80254122364177,0.8651523945870562,1284969.8526936364,3297185.531849038,2.5659633375345465,0.0037058659274883166,0.2,2.285129797384792,1.8282046061421682,2.649610291645176e-07,2.3637372415169113e-07,6.378366858832789e-05,5.26587496193981e-05,-6.621024463266276e-05,9.193502973832521e-05,continuation,continuation
0.08416691823869163,43.00929521997143,0.5456462713525362,0.5478840694565821,0.8564418240723367,0.741683455459581,0.8660056463997922,447162.0825877355,1074007.1972041493,2.401829759332118,0.0043499461604158286,0.2,2.2908614346461618,1.8331778689196463,3.111708312160128e-07,2.7757083022483204e-07,6.381017603176448e-05,5.296756060972324e-05,-1.4756911825404694e-05,-0.00013925279295230527,continuation,continuation
0.09116209203955908,46.583829032214695,0.5444761818058996,0.5469628810102737,0.7889002211718282,0.684090586174415,0.8671446246500862,167031.0592331082,375972.42322672054,2.250913243039513,0.005091107087600489,0.2,2.2957845389196705,1.8376332178812798,3.6445571099512684e-07,3.250657787730705e-07,6.384972328804001e-05,5.324975321651554e-05,-1.4907083467969781e-05,-0.0002643568934736426,continuation,continuation
