model,d_ratio,theta,kTe_keV,tau_T,l_diss_local,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_c_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,root_method,max_scatter,last_scatter_order,last_difmax,exact_angles,max_tau_grid,max_frequency_grid,seed_bins
compPSc,0.0,0.05453349474995434,27.866615817226666,1.3138688195457475,238211164.79430327,0.5631867091952811,0.855444573364193,2.22042221509841,2.2195126049513556,0.869408808292605,1.9296638088611735,0.0,0.869408808292605,1.2609371266750469e+17,7.155132122108324e+33,0.00040974032126458055,continuation,2000,47,0.002838661967340509,True,60,100,1200
compPSc,0.0,0.06028741513057389,30.80686913172326,1.1938487749078135,42631263.182886206,0.5594400671865104,0.8307115742847615,2.2344520735180393,2.2343769660374813,0.8361291414170099,1.8682276942148628,0.0,0.8361291414170099,3.2380640357514737e+18,5.884937236790876e+33,3.361394222087506e-05,continuation,2000,43,0.00296681801525116,True,60,100,1200
compPSc,0.0,0.06664844128899688,34.05735349867741,1.0824332250889728,8851210.43474966,0.5560963522137773,0.8036427271367129,2.2473892619370135,2.2478119035016952,0.8043379589673949,1.8080004386051685,0.0,0.8043379589673949,6.1468523278111605e+19,4.815685448878217e+33,-0.00018804122457367434,continuation,2000,40,0.002499020088549926,True,60,100,1200
compPSc,0.0,0.07368062997280773,37.650801916104754,0.9792811502208525,2099828.5029403055,0.5531686297112995,0.7743619636733227,2.2592991313751916,2.259708763044605,0.7741398230116884,1.7493305418813119,0.0,0.7741398230116884,8.890879087658086e+20,3.9202373047653104e+33,-0.00018129274394108693,continuation,2000,37,0.0022893985129366075,True,60,100,1200
compPSc,0.0,0.08145479666433054,41.62340109547291,0.884032354685729,560171.7685996781,0.5506605402882406,0.7430466459325027,2.270464377299002,2.270001041559458,0.7456049936315566,1.6925241121355663,0.0,0.7456049936315566,1.0115806839655178e+22,3.1742634107097167e+33,0.0002040917388017924,continuation,2000,34,0.0023293936612091256,True,60,100,1200
compPSc,0.0,0.0900492287060531,46.01515586879314,0.7957345910958704,166558.56127791904,0.5485814040934647,0.7096898558476574,2.2787007301281115,2.2786043979482593,0.7186530313112798,1.6375259577447303,0.0,0.7186530313112798,9.200597931630816e+22,2.552407275541381e+33,4.227594034589546e-05,continuation,2000,31,0.002675416255910235,True,60,100,1200
compPSc,0.0,0.09955047366910884,50.87029204491462,0.7141799071302046,54360.42960089893,0.5469226270628541,0.6745467698953579,2.2844999383603763,2.285515241365843,0.6933217547876865,1.5845974377377692,0.0,0.6933217547876865,6.895878444748259e+23,2.0377709086281783e+33,-0.000444332450655897,continuation,2000,29,0.0021440174711358723,True,60,100,1200
compPSc,0.0,0.11005421090383831,56.23770177186138,0.6395897598270541,19205.780153112755,0.54565220389976,0.6381621412350964,2.2911837713443166,2.290836527491848,0.6697323212953138,1.5342472652652113,0.0,0.6697323212953138,4.384689538578638e+24,1.6173453143872314e+33,0.0001515680117007073,continuation,2000,27,0.0018574799060972298,True,60,100,1200
compPSc,0.0,0.12166621504910963,62.171435890095026,0.5707153017225863,7339.65234425922,0.544780256202042,0.6004006831265787,2.294007080068265,2.294503124460542,0.6476674413453298,1.4860749677782241,0.0,0.6476674413453298,2.361484418491359e+25,1.2721433818282668e+33,-0.0002162115249171072,continuation,2000,25,0.0017591047885436284,True,60,100,1200
compPSc,0.0,0.134503421203122,68.73124823479534,0.5077814649560075,2993.5951418553523,0.5442609143036287,0.5618767101682509,2.296416042239187,2.2966925736332744,0.6272161562032563,1.4405226880148267,0.0,0.6272161562032563,1.1078873668956491e+26,9.928456581495403e+32,-0.0001204114326692701,continuation,2000,23,0.0018644518022118538,True,60,100,1200
