f_corona,g_feedback,kTe_keV,tau_T
0.3,1.0,113.215784366787,0.08400071278959145
0.3,1.0,115.12650052961035,0.08200970828549398
0.3,1.0,117.06946339968653,0.08009786411785129
0.3,1.0,119.04521719710894,0.07826109682283718
0.3,1.0,121.05431532664555,0.0764950501776349
0.3,1.0,123.09732053274638,0.0747803982270999
0.3,1.0,125.1748050571672,0.07296833981690393
0.3,1.0,127.28735079925328,0.0712050010427276
0.3,1.0,129.43554947892824,0.06951102512542691
0.3,1.0,131.62000280243362,0.06788287862829012
0.3,1.0,133.84132263086607,0.0663172614318859
0.3,1.0,136.10013115155726,0.06479562465258584
0.3,1.0,138.3970610523491,0.0631898961878785
0.3,1.0,140.7327556988063,0.06163250743524598
0.3,1.0,143.10786931442402,0.060135709843781006
0.3,1.0,145.5230671638723,0.058696630821397394
0.3,1.0,147.97902573933771,0.057312403443605386
0.3,1.0,150.47643295000518,0.055936776553769274
0.3,1.0,153.01598831474215,0.054527280120516324
0.3,1.0,155.5984031580309,0.05317635785180393
0.3,1.0,158.22440080920973,0.051866980042481824
0.3,1.0,160.89471680507614,0.05059880458203326
0.3,1.0,163.61009909590916,0.04937871577130676
0.3,1.0,166.3713082549687,0.04814235889530589
0.3,1.0,169.17911769153073,0.046906210883256895
0.3,1.0,172.03431386751757,0.04572081328212157
0.3,1.0,174.9376965177843,0.04458351179966553
0.3,1.0,177.8900788741238,0.04348860371106132
0.3,1.0,180.89228789304923,0.04241639273865535
0.3,1.0,183.94516448742593,0.04131155905382122
0.3,1.0,187.04956376200633,0.04023094779931314
0.3,1.0,190.20635525294608,0.03919427213196041
0.3,1.0,193.41642317135654,0.03819924367090858
0.3,1.0,196.6806666509734,0.037243736210130954
0.3,1.0,200.0,0.036325739768788626
1.0,0.1,10.0,4.745090674898219
1.0,0.1,10.168767647860228,4.728611964353988
1.0,0.1,10.340383547616884,4.696576814365862
1.0,0.1,10.514895768547275,4.662447700369484
1.0,0.1,10.692353191182594,4.629468540124633
1.0,0.1,10.872805520999258,4.597628129535919
1.0,0.1,11.056303302341332,4.566548485067102
1.0,0.1,11.242897932577874,4.535466270855733
1.0,0.1,11.432641676499253,4.505175453648686
1.0,0.1,11.625587680956412,4.475678341081603
1.0,0.1,11.821789989747199,4.446957644819216
1.0,0.1,12.021303558753923,4.4189557276326505
1.0,0.1,12.22418427133639,4.391111589141369
1.0,0.1,12.43048895398473,4.363095511712358
1.0,0.1,12.640275392236385,4.335622879458686
1.0,0.1,12.853602346861711,4.308651827860935
1.0,0.1,13.070529570322767,4.282191363344109
1.0,0.1,13.29111782350986,4.256232874937562
1.0,0.1,13.515428892760552,4.229860547069922
1.0,0.1,13.74352560716589,4.20342252529279
1.0,0.1,13.975471856168708,4.177291486883639
1.0,0.1,14.21133260745895,4.151507133761795
1.0,0.1,14.451173925170965,4.126030656369586
1.0,0.1,14.695062988387981,4.100894787483727
1.0,0.1,14.943068109958794,4.0748541170351995
1.0,0.1,15.195258755632087,4.048878718236368
1.0,0.1,15.451705563513645,4.023094569444531
1.0,0.1,15.712480363851945,3.997497598991571
1.0,0.1,15.977656199157677,3.9721093060413954
1.0,0.1,16.247307344662794,3.946765966418675
1.0,0.1,16.521509329124886,3.9205802873199254
1.0,0.1,16.80033895598261,3.881637898358046
1.0,0.1,17.083874324868184,3.842736188832244
1.0,0.1,17.37219485348296,3.8050534868083314
1.0,0.1,17.66538129984215,3.7685776085993896
1.0,0.1,17.96351578489499,3.7326422258515466
1.0,0.1,18.26668181552667,3.6965640399114608
1.0,0.1,18.574964307948434,3.661355201668725
1.0,0.1,18.88844961148245,3.6269840861087714
1.0,0.1,19.207225532748076,3.5934275556044284
1.0,0.1,19.531381360256354,3.5606650145226615
1.0,0.1,19.861007889419515,3.527706597700291
1.0,0.1,20.19619744798259,3.494656450158593
1.0,0.1,20.537043921884266,3.4621662387360272
1.0,0.1,20.883642781554126,3.430221819134873
1.0,0.1,21.236091108653728,3.398817449591822
1.0,0.1,21.59448762326903,3.36794849670822
1.0,0.1,21.958932711561623,3.3363384227564055
1.0,0.1,22.32952845388675,3.304799504901807
1.0,0.1,22.7063786533858,3.27361976983218
